Date,Title,Link,Image
08/07/1964,Gulf of Tonkin Resolution,https://en.wikipedia.org/wiki/Gulf_of_Tonkin_Resolution,http://2day.sweetsearch.com/wp-content/uploads/mcnamara.jpeg
02/09/1965,Bombings begin in Vietnam,https://en.wikipedia.org/wiki/Operation_Flaming_Dart,http://3.bp.blogspot.com/-eZ6o1lHbMm8/TrcSrNW0CBI/AAAAAAAABBk/BT5CGIiUpYo/s400/b52s+dropping+bombs+vietnam+war.png
02/21/1965,Malcolm X assassinated,https://www.history.com/this-day-in-history/malcolm-x-assassinated,https://cbsnews3.cbsistatic.com/hub/i/r/2015/02/20/9e8c2bc6-0eff-4835-803d-0ebbe510845e/resize/620x465/223856e30b180ff1f929f83f0378af89/malcolm-x-assassination.jpg
03/15/1965,Johnson introduces the Voting Rights act,https://en.wikipedia.org/wiki/Voting_Rights_Act_of_1965,https://static.politico.com/dims4/default/06a430a/2147483647/resize/1160x%3E/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fc3%2Ffe%2F61c0bf3042ca8f7ecb4c841e64cd%2Flbj-voting-rights-ap.jpg
03/21/1965,The Selma to Montgomery march,https://en.wikipedia.org/wiki/Selma_to_Montgomery_marches,https://www.aclualabama.org/sites/default/files/styles/featured_image_mobile_480x268/public/field_image/we_march_with_selma_cph.3c35695.jpg?itok=2AjnlzrG
10/21/1967,Anti-war march to pentagon,https://www.history.com/this-day-in-history/100000-people-march-on-the-pentagon,https://static01.nyt.com/images/2017/10/22/opinion/sunday/20Vietnam-March1/20Vietnam-March1-jumbo.jpg
01/30/1968,Tet-offensive,https://en.wikipedia.org/wiki/Tet_Offensive,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Tet_Offensive_map.png/300px-Tet_Offensive_map.png
03/16/1968,My Lai massacre,https://en.wikipedia.org/wiki/My_Lai_Massacre,https://i1.wp.com/www.vietnamfulldisclosure.org/wp-content/uploads/2017/03/9726950_orig.jpg?resize=752%2C490
03/31/1968,Johnson announces not to run for elections,https://www.npr.org/2018/03/25/596805375/president-johnson-made-a-bombshell-announcement-50-years-ago,https://www.washingtonpost.com/resizer/lT4HJua0KxHbYYCGmUCYrAvlL_A=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/7JSKC4QS24Z4NH6PUAGKJLMEXE.jpg
,,,
