Date,Title,Link,Image
05/08/1945,Germany surrenders,https://en.wikipedia.org/wiki/End_of_World_War_II_in_Europe,https://upload.wikimedia.org/wikipedia/commons/1/11/German_instrument_of_surrender2.jpg
08/06/1945,The bombing of Hiroshima and Nagasaki,https://en.wikipedia.org/wiki/Atomic_bombings_of_Hiroshima_and_Nagasaki,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Atomic_bombing_of_Japan.jpg/1920px-Atomic_bombing_of_Japan.jpg
03/12/1947,The Truman doctrine,https://en.wikipedia.org/wiki/Truman_Doctrine,https://defenceindepth.files.wordpress.com/2017/03/special_message_to_congress_on_greece_and_turkey_the_truman_doctrine.jpg
06/05/1947,Marshall Plan,https://en.wikipedia.org/wiki/Marshall_Plan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Marshall_Plan_poster.JPG/220px-Marshall_Plan_poster.JPG
06/24/1948,The Soviet Union blocks West Berlin,https://en.wikipedia.org/wiki/Berlin_Blockade,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/C-54landingattemplehof.jpg/600px-C-54landingattemplehof.jpg
01/05/1949,Truman proposes 'Fair Deal',https://en.wikipedia.org/wiki/Fair_Deal,https://www.thoughtco.com/thmb/FJ2ri4ISXUPpvFsTZ3U0WFjUWWE=/768x0/filters:no_upscale():max_bytes(150000):strip_icc()/truman-58ad96965f9b58a3c97acc19.jpg
09/23/1949,The Soviet Unions obtains the nuclear bomb,https://en.wikipedia.org/wiki/Soviet_atomic_bomb_project,https://sites.google.com/site/thecoldwarinberlin/_/rsrc/1468742381968/home/cold-war-technology/military-technology-2/atomic-bomb-black-white.jpg
06/30/1950,Truman orders troops to Korea,https://www.history.com/this-day-in-history/truman-orders-u-s-forces-to-korea-2,http://www.findingdulcinea.com/docroot/dulcinea/fd_images/news/on-this-day/June/Truman-Orders-Troops-Into-Korea/news/0/image.jpg
04/11/1951,Truman releives MacArthur of duty,https://en.wikipedia.org/wiki/President_Truman%27s_relief_of_General_Douglas_MacArthur,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Truman_and_MacArthur.JPG/330px-Truman_and_MacArthur.JPG
11/01/1952,The US tests its first H-bomb: Ivy Mike,https://en.wikipedia.org/wiki/Ivy_Mike,https://www.ctbto.org/uploads/tx_ctbtoslider/IvyMikeB640c20.jpg
